C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
2144523,9273143,31008262,18524187,22080104,10806221,10635504,3979984,3768016,1255000,10031268,3648453,853433,9608709,6183031,5541768,223934,1212500,535191,10227625,22718790,0,852500,0,0,kansas-city-chiefs,2021
9741912,17348318,7352469,13763197,851668,22721335,20160805,5037533,719543,780333,16210462,13684916,1685994,9118901,6734653,2139115,7381820,933001,923662,8085049,15097916,0,667,0,0,jacksonville-jaguars,2021
5408661,18892871,7302047,12114616,4372320,6012555,13846466,4396732,1508615,987500,11152120,14888382,3175867,23816002,12004595,10307770,2799775,7455882,592199,7216364,18522615,0,51580,0,0,houston-texans,2021
8970463,18604109,12450559,29917751,1306233,16978850,9757564,1205553,4333,1063722,10580000,3809554,2000000,22992173,7504646,7248445,2774899,2662003,424133,10358924,16703832,0,0,0,0,indianapolis-colts,2021
8471954,16663529,8446227,3699699,16071370,15238829,10742385,1605702,1220600,1437500,14243971,9961100,3381665,12259374,16946980,5977843,770986,5414141,6182360,7588671,16640857,0,1450991,0,0,tennessee-titans,2021
3180536,30901537,15992000,17305114,12222451,6115101,9608494,3484667,25067,660000,11030073,10333044,2919734,4266390,9118108,5874610,2471917,4630917,2147763,11717119,14793981,0,3983334,0,0,baltimore-ravens,2021
11918956,18344343,19340179,10340989,1861605,13463021,1821666,1400761,136666,1145000,5336039,7122511,947774,18437906,11438169,17961755,1817047,5833000,146667,16529068,35579319,0,1721232,0,0,cleveland-browns,2021
9129003,28823488,14839880,10653054,2722878,10746233,10686704,4824133,1848669,894200,3220567,10277664,914582,29862266,5522334,2875000,2264160,3737843,375000,9858712,8875760,0,2955000,0,0,pittsburgh-steelers,2021
7512967,33571095,20857376,30002729,10473200,11131052,2562194,782594,1932233,1258382,6340083,3095876,1261000,10348725,11862488,6564705,1804144,0,8501,8822291,21094952,0,0,0,0,cincinnati-bengals,2021
9370133,16056417,32383064,7574040,15026341,15505794,14166495,733857,1111086,1115000,15246695,1446111,1150940,13522745,8672437,5387338,3216215,0,780421,8187405,33271803,262662,1549641,0,0,new-york-jets,2021
5426141,30828602,9353097,10787053,18669146,11883624,19896125,2868534,4301043,1176471,5449266,8209486,959045,8439207,7500739,10154903,2502407,3283333,237172,15571841,22125924,0,950000,0,0,new-england-patriots,2021
9277941,12774045,24523738,22601975,0,9382111,7795331,1457554,411492,1452500,12998261,15410147,1602600,13824778,5563758,6969294,1904723,12712261,103350,2508379,23736575,0,786666,0,0,buffalo-bills,2021
9212725,23729248,25791068,14109449,4904790,6430391,7655307,5007941,125066,1716176,15911543,2255429,874418,28160414,12644451,5767302,913328,8266292,58800,8933287,13339682,0,6851966,0,0,san-francisco-49ers,2020
977629,25060063,7141683,7683313,1075117,18921209,22885545,3690859,404735,1168750,7321144,30767793,2008400,9582768,17280111,979881,3907333,2446438,1190667,6071650,23597877,0,0,0,0,arizona-cardinals,2020
1674000,12616289,6039166,29010671,4120037,7663122,9196620,1049769,1100611,1105200,6666666,7073192,4687000,29773127,13962262,7120545,976285,1756745,0,12714325,38306035,0,0,0,0,los-angeles-rams,2020
4996480,10744422,20524949,11896253,7381701,7431098,15877560,3600000,933094,1035000,13298750,13217505,822537,32068066,10076543,5831617,201534,5930495,420479,14885254,18370473,0,1350000,0,0,seattle-seahawks,2020
11596488,12127354,17112089,17693017,8965729,16347531,11164520,937082,3000,1051334,11516700,2601198,634435,21528405,15375038,4833123,227929,8770935,2906255,3892838,28773491,0,1277499,0,0,atlanta-falcons,2020
